Date,Startup Name,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType, Amount in USD ,,,,
19-07-2016,NiYO Solutions,Technology,Payroll & Benefits Software solutions,Bengaluru,Prime Venture Partners,Private Equity,1000000,,,,
19-07-2016,Sagacito,Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,10000000,,,,
19-07-2016,Deal4Loans / Wishfin,Consumer Internet,Loans Comparison platform,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000,,,,
20-07-2016,Truckola,Logistics,Logistics Tech,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed,595000,,,,
20-07-2016,Tax2Win,Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,1000000,,,,
21-07-2016,Wiwigo,Consumer Internet,Inter-City Taxi Booking platform,Bengaluru,Indian Angel Network,Seed,595000,,,,
21-07-2016,MyTaxiIndia,Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,1000000,,,,
01-08-2016,Medinfi,Consumer Internet,Doctor & Clinic  Discovery Platform,Bengaluru,"Mudit Saxena, Evan Lim",Seed,200000,,,,
01-08-2016,RepairEasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed,275000,,,,
01-08-2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,2500000,,,,
01-08-2016,Voonik,ECommerce,Online Women  s Fashion Marketplace,Bengaluru,InnoVen Capital,Private Equity,3000000,,,,
01-08-2016,HealthKart,ECommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,12000000,,,,
02-08-2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed,1000000,,,,
02-08-2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,1800000,,,,
03-08-2016,ExtraCarbon,Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed,225000,,,,
03-08-2016,FlickBay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed,890000,,,,
04-08-2016,Petoo,Consumer Internet,Food Delivery Platform,Bengaluru,Existing Investors,Seed,500000,,,,
06-08-2016,VST Travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed,27000,,,,
08-08-2016,Wefly Indoor Skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed,40000,,,,
08-08-2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed,200000,,,,
08-08-2016,Mojarto,ECommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed,445000,,,,
10-08-2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bengaluru,"Anupam Mittal, Sharad Sharma & 14 others",Seed,500000,,,,
10-08-2016,Bombay Shaving Company,ECommerce,Men  s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed,600000,,,,
11-08-2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed,209000,,,,
11-08-2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bengaluru,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,7000000,,,,
11-08-2016,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,15000000,,,,
12-08-2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed,500000,,,,
12-08-2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,1500000,,,,
12-08-2016,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,1500000,,,,
12-08-2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,15600000,,,,
16-08-2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed,250000,,,,
16-08-2016,Joolz,ECommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,500000,,,,
16-08-2016,SaleBhai,ECommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,1500000,,,,
16-08-2016,OyoRooms,Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,62000000,,,,
16-08-2016,Hike,Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,175000000,,,,
17-08-2016,MaalGaadi,Logistics,Logistics Tech,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed,375000,,,,
17-08-2016,Appknox,Technology,Mobile security solutions,Bengaluru,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,675000,,,,
19-08-2016,Digio,Technology,Aadhar based Document Signing platform,Bengaluru,Rainmatter,Private Equity,375000,,,,
19-08-2016,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,20000000,,,,
22-08-2016,Puro Wellness,Healthcare,Organic  Food substitute manufacturer,Mumbai,Torrent Group,Private Equity,37000000,,,,
23-08-2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed,100000,,,,
23-08-2016,Octo.ai,Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed,200000,,,,
24-08-2016,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed,100000,,,,
24-08-2016,Guarented,ECommerce,Home Furnishing rental marketplace,Bengaluru,Kalaari Capital,Seed,500000,,,,
24-08-2016,Uber Dreams,ECommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed,500000,,,,
24-08-2016,Convegenius,Ed-Tech,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,900000,,,,
24-08-2016,UnaAcademy,Consumer Internet,Free Interactive education platform,Bengaluru,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,1000000,,,,
24-08-2016,UrbanLadder,ECommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,3000000,,,,
25-08-2016,Cult,Healthcare,Health and Fitness Centres,Bengaluru,CureFit,Private Equity,3000000,,,,
25-08-2016,ZoomCar,Consumer Internet,Self-driven car booking platform,Bengaluru,Ford Smart Mobility Llc,Private Equity,24000000,,,,
26-08-2016,Plix,Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed,500000,,,,
26-08-2016,MyDidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed,550000,,,,
26-08-2016,Mobikwik,Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,40000000,,,,
29-08-2016,Notion Press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,1000000,,,,
29-08-2016,LoanTap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,3000000,,,,
29-08-2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bengaluru,"Nexus Venture Partners, Blume Ventures",Private Equity,7000000,,,,
29-08-2016,LivSpace,Consumer Internet,Online portal for Home Design,Bengaluru,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,15000000,,,,
30-08-2016,DayBox,Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed,104000,,,,
30-08-2016,iAugmentor Labs,Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed,149000,,,,
30-08-2016,CropIn,Technology,Agriculture Technology Solutions,Bengaluru,Sophia Investment ApS,Private Equity,2000000,,,,
30-08-2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bengaluru,Info Edge (India) Ltd,Private Equity,3000000,,,,
30-08-2016,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bengaluru,MediaTek Inc.,Private Equity,60000000,,,,
31-08-2016,Flyrobe,ECommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,5300000,,,,
01-09-2016,Mihup,Technology,Personal Digital Assistant,Kolkata,Accel Partners,Private Equity,6700000,,,,
06-09-2016,CheersOye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed,500000,,,,
06-09-2016,BigStylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,900000,,,,
06-09-2016,eShakti,ECommerce,Women Fashion Apparel eTailer,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,1350000,,,,
07-09-2016,Prozo,ECommerce,Study Material Marketplace,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed,315000,,,,
07-09-2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,New Delhi,Eros Labs,Seed,500000,,,,
07-09-2016,Simplilearn,Ed-Tech,Online Certification programs,Bengaluru,InnoVen Capital India,Private Equity,6000000,,,,
07-09-2016,Zilingo,ECommerce,Online Fashion Retailer,Singapore,"Venturra Capital, Sequoia India, Susquehanna International Group,Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,8000000,,,,
08-09-2016,BuildTraders,ECommerce,Online Construction Materials Marketplace,Bengaluru,Idein Ventures,Seed,200000,,,,
08-09-2016,TopRankers,Ed-Tech,Online Test Preparation platform,Bengaluru,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed,670000,,,,
09-09-2016,BYJUS,Ed-Tech,Online Learning App,Bengaluru,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,50000000,,,,
10-09-2016,CureInstant,Consumer Internet,Social Health Networking Platform,New Delhi,Dr. Rameshwar Kumar,Seed,150000,,,,
10-09-2016,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed,450000,,,,
12-09-2016,Glam Studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed,300000,,,,
12-09-2016,Purple Style Labs,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed,448000,,,,
12-09-2016,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,3000000,,,,
12-09-2016,Nykaa,ECommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,12300000,,,,
13-09-2016,NearBuy,Consumer Internet,Online Deals & Discount platform,Gurgaon,BlackSoil Capital Pvt. Ltd.,Private Equity,2500000,,,,
14-09-2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bengaluru,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",Seed,150000,,,,
15-09-2016,infeedo,Consumer Internet,Employee engagement platform,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed,200000,,,,
15-09-2016,GoPigeon,Consumer Internet,on-demand logistics service provider,Bengaluru,Nexus Venture Partners,Private Equity,1500000,,,,
15-09-2016,Furlenco,ECommerce,Online furniture rental startup,Bengaluru,Lightbox Ventures and others,Private Equity,5000000,,,,
16-09-2016,NewsDistill,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed,100000,,,,
16-09-2016,DoctorInsta,Consumer Internet,Online Doctor Consultations,Gurgaon,RoundGlass Partners,Private Equity,1000000,,,,
19-09-2016,Milofy,Consumer Internet,Couple Socialization App,Bengaluru,Accel Partners,Seed,750000,,,,
19-09-2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bengaluru,Bessemer Venture Partners,Private Equity,15000000,,,,
20-09-2016,JustLikeNew,ECommerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed,500000,,,,
21-09-2016,eQuickies,ECommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed,298000,,,,
21-09-2016,Khel Now,Consumer Internet,Mobile-based social networking platform,New Delhi,Anglian Omega Network,Seed,350000,,,,
21-09-2016,Co Life,Consumer Internet,shared living and working spaces platform,Bengaluru,Undisclosed Investors,Seed,1000000,,,,
21-09-2016,Pepperfry,ECommerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,31300000,,,,
22-09-2016,Flixy Games,Technology,Mobile Game Publisher for Indian audience,Bengaluru,Rebright Partners,Seed,425000,,,,
22-09-2016,PharmaRack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,745000,,,,
22-09-2016,HashTaag,Technology,Mobile App Development company,Bengaluru,Undisclosed investors,Seed,1000000,,,,
22-09-2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,New Delhi,Carpediem Capital,Private Equity,6000000,,,,
23-09-2016,CloudCherry,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,6000000,,,,
27-09-2016,TinyStep,Consumer Internet,Parenting Network Platform,Bengaluru,Flipkart Logistics Pvt. Ltd,Private Equity,1580000,,,,
28-09-2016,Beardo,ECommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed,500000,,,,
28-09-2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed,1000000,,,,
28-09-2016,Celes Care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed,1000000,,,,
28-09-2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,51000000,,,,
29-09-2016,Promon,ECommerce,Local Commerce Platform,New Delhi,Now Capital,Seed,180000,,,,
29-09-2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,1500000,,,,
30-09-2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,19000000,,,,
03-10-2016,World Art Community,ECommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed,200000,,,,
03-10-2016,Uniphore,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,2000000,,,,
03-10-2016,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bengaluru,Recruit Holdings,Private Equity,5000000,,,,
04-10-2016,Giftxoxo,ECommerce,Online Gifting platform,Bengaluru,Mahindra Holidays & Resorts India Ltd,Private Equity,450000,,,,
04-10-2016,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others",Seed,1000000,,,,
04-10-2016,India Gifts Portal,ECommerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,2000000,,,,
04-10-2016,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,2500000,,,,
04-10-2016,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,3000000,,,,
04-10-2016,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,3750000,,,,
04-10-2016,Moglix,ECommerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,4200000,,,,
05-10-2016,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,1200000,,,,
06-10-2016,RealBox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed,300000,,,,
06-10-2016,GoZefo,ECommerce,Used Furniture & Appliances Marketplace,Bengaluru,"Helion Venture Partners, BeeNext",Private Equity,1050000,,,,
07-10-2016,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bengaluru,HAX Accelerator,Seed,100000,,,,
07-10-2016,KOOH Sports,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,2200000,,,,
07-10-2016,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,15000000,,,,
10-10-2016,Vithi.com,ECommerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed,375000,,,,
11-10-2016,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed,500000,,,,
11-10-2016,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Bengaluru,Emerald Media,Private Equity,50000000,,,,
13-10-2016,RoboVac,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed,450000,,,,
13-10-2016,FabAlley,ECommerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,2000000,,,,
14-10-2016,Newspatrolling,Consumer Internet,Online News portal,New Delhi,Undisclosed,Seed,25000,Maximum,"3,90,00,00,000.00",,
14-10-2016,ISFC,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,6000000,,,,
14-10-2016,Postman,Consumer Internet,API Platform,Bengaluru,Nexus Venture Partners,Private Equity,7000000,,,,
15-10-2016,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed,227000,,,,
15-10-2016,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed,1000000,,,,
15-10-2016,DailyHunt,Consumer Internet,Vernacular content mobile app,Bengaluru,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge",Private Equity,25000000,,,,
17-10-2016,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed,300000,,,,
17-10-2016,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,16000000,,,,
18-10-2016,3Dexter,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed,150000,,,,
18-10-2016,MySUN,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,2500000,,,,
19-10-2016,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,750000,,,,
19-10-2016,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Bengaluru,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,1100000,,,,
19-10-2016,Furlenco,Consumer Internet,Online Furniture Rental platform,Bengaluru,"Lightbox Ventures, Axis Capital & Others",Private Equity,30000000,,,,
21-10-2016,ChatOnGo,Consumer Internet,Hyperlocal Communication Mobile app,Mumbai,Janak Jain,Seed,300000,,,,
24-10-2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,BEENEXT,Private Equity,3000000,,,,
24-10-2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,7500000,,,,
25-10-2016,SooperMO,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed,100000,,,,
25-10-2016,CreditMate,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed,500000,,,,
25-10-2016,Kredx,ECommerce,Invoice discounting marketplace,Bengaluru,Sequoia Capital,Private Equity,6000000,,,,
26-10-2016,OrangeTwig,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed,1000000,,,,
26-10-2016,The Kettlery,ECommerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,1000000,,,,
27-10-2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,700000,,,,
27-10-2016,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,971000,,,,
27-10-2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Bengaluru,Hero MotoCorp,Private Equity,27000000,,,,
29-10-2016,Velmenni,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed,100000,,,,
29-10-2016,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed,100000,,,,
29-10-2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bengaluru,Kalaari Capital,Seed,100000,,,,
30-10-2016,Impact Analytics,Technology,Business intelligence and data science Startup,Bengaluru,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,750000,,,,
31-10-2016,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed,1000000,,,,
01-11-2016,PickMyLaundry,Consumer Internet,On-Demand Washing & Dry Cleaning Services,New Delhi,"Kedar Lele, GHV Accelerator",Seed,200000,,,,
02-11-2016,LaundryAnna,Consumer Internet,On-Demand Washing & Dry Cleaning Services,Bengaluru,Undisclosed Investors,Seed,150000,,,,
02-11-2016,FreshDesk,Consumer Internet,SAAS Based HelpDesk Services,Chennai,"Sequoia Capital India, Accel Partners",Private Equity,55000000,,,,
03-11-2016,Zarget,Technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,6000000,,,,
03-11-2016,EasyPolicy,Consumer Internet,Online insurance Portal,Noida,"Unilazer Ventures,",Private Equity,10000000,,,,
04-11-2016,Corseco,Technology,AI-based Software as a Service Solution provider,New Delhi,"Ameera Shah, Vivek Bhargava",Seed,150000,,,,
04-11-2016,Connect India,Logistics,Last mile Delivery Network,Bengaluru,Aavishkaar Venture Management,Private Equity,1000000,,,,
05-11-2016,Medzin,ECommerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed,45000,,,,
05-11-2016,Bizongo,ECommerce,Packaging Material Marketplace,Mumbai,"IDG Ventures, Accel Partners",Private Equity,3000000,,,,
07-11-2016,JustRide,Consumer Internet,Online Car Sharing platform,Mumbai,"Justin Kan, Qasar Younis, Paul Bucche, Susa Ventures, Kima Ventures, Axan Venture, SCM Holdings",Private Equity,3000000,,,,
07-11-2016,Rivigo,Technology,Technology based Logistics platform,Gurgaon,Warburg Pincus,Private Equity,75000000,,,,
09-11-2016,IIM Jobs,Consumer Internet,Online Job Portal,New Delhi,India Quotient,Private Equity,2000000,,,,
09-11-2016,Square Yards,Consumer Internet,Online Property Search Portal,Gurgaon,ADAG Reliance Private Equity,Private Equity,12000000,,,,
10-11-2016,GolfLAN,Consumer Internet,Golf Session Online Bookings platform,New Delhi,"YourNest Angel Fund, iSON",Private Equity,1000000,,,,
14-11-2016,ElasticRun,Technology,Tech driven Logistic & distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,2000000,,,,
14-11-2016,Active.ai,Technology,Banking & Fintech Platform,Singapore,"Kalaari Capital, IDG Ventures India",Private Equity,3000000,,,,
15-11-2016,PlaySimple,Technology,Mobile Gaming portal,Bengaluru,"SAIF Partners, IDG Ventures India",Private Equity,4000000,,,,
15-11-2016,Zefo,ECommerce,Used Furniture & Appliances Marketplace,Bengaluru,"Sequoia India, BEENEXT, Helion Ventures",Private Equity,6000000,,,,
16-11-2016,Stasis Labs,Technology,Cloud based\\xc2\\xa0 health monitoring platform,Bengaluru,"RTP-HC, Wonder Ventures, Techstars Ventures & Others",Private Equity,5000000,,,,
17-11-2016,Pictor Imaging,Consumer Internet,Product Photography Mobile App,Mumbai,Quarizon,Seed,147000,,,,
17-11-2016,Koovs,ECommerce,Fashion eTailer,New Delhi,Times of India Group & Existing investors,Private Equity,13500000,,,,
18-11-2016,GramCover,Finance,Insurance Marketplace for the Rural Sector,New Delhi,Omnivore Capital,Seed,1000000,,,,
21-11-2016,Bats on delivery,Consumer Internet,"Online food, Grocery ordering & Delivery",Gurgaon,Devdeep Singh,Seed,90000,,,,
21-11-2016,numberz.in,Technology,Cash Flow Management Solution for Businesses,Gurgaon,"Kae Capital, Khosla Impact",Seed,650000,,,,
22-11-2016,Awesummly,Consumer Internet,Short News Mobile App,Bengaluru,"Vivek Bhargava, Ameera Shah",Seed,147000,,,,
22-11-2016,Noddapp,Consumer Internet,App based networking platform,Mumbai,Undisclosed multiple investors,Seed,147000,,,,
22-11-2016,Housing.com,Consumer Internet,Real Estate Portal,Mumbai,Softbank Group,Private Equity,5000000,,,,
22-11-2016,Vymo,Technology,SaaS-based predictive analytics platform,Bengaluru,Sequoia India,Private Equity,5000000,,,,
23-11-2016,Infisecure,Technology,Bot Protection Solutions,Mumbai,"IDG Ventures, Axilor Ventures",Seed,600000,,,,
23-11-2016,Udaan,ECommerce,B2B Marketplace,Bengaluru,"Lightspeed Venture Partners India, Lightspeed US",Private Equity,10000000,,,,
23-11-2016,Knowlarity,Consumer Internet,Cloud Telephony Platform,Bengaluru,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital",Private Equity,20000000,,,,
24-11-2016,ShareChat,Consumer Internet,Local Language Social Networking Platform,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway",Private Equity,4000000,,,,
28-11-2016,Kloseby,Consumer Internet,proximity based Rewards platform,Bengaluru,Undisclosed Investor,Seed,100000,,,,
28-11-2016,WholeSaleBox,ECommerce,B2B Wholesale Apparel Marketplace,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund",Private Equity,2000000,,,,
29-11-2016,Affordplan,Consumer Internet,Savings platform for Medical Expenses,New Delhi,"Prime Venture Partners, Kalaari Capital",Private Equity,3000000,,,,
30-11-2016,Interviewpad,Technology,Engineering Interview facilitation platform,Pune,Krishna Rokhale,Seed,100000,,,,
30-11-2016,Indofash,ECommerce,Ethnic Indian Fashion Marketplace,Bengaluru,"Shekhar Sahu, Nitesh Pant",Seed,150000,,,,
30-11-2016,Entropika,Technology,"AI, Machine learning Solutions",Bengaluru,"Dileep Bhatt, Milind Chaudhary",Seed,200000,,,,
